Acerage,Precip,Air max,Air min,speed,Soil max,Soil min,Solar,RH max,RH min,Water Consumption
320,0,81,56,6,71,69,546,92.4,49.6,0.1
320,0,80,54,0,74,69,559,94,43,0.1
320,0,86,49,0,72,70,591,92,28,0.1
320,0,88,58,0,73,71,589,90,30,0.1
320,0,84,55,0,72,70,620,87,31,0.14
320,0,97,52,0,72,69,584,87,21,0.14
320,0,103,59,0,72,70,575,73,19,0.14
320,0,91,55,0,72,70,593,89,34,0.14
320,0,82,57,0,71,69,590,90,45,0.14
320,0,85,55,0,71,69,555,90,40,0.14
320,0,82,58,0,71,69,499,87,47,0.14
320,0,77,57,0,71,69,495,86,56,0.14
320,0,79,58,0,71,69,507,88,50,0.14
320,0,85,57,0,71,69,496,88,41,0.14
320,0,89,51,0,71,68,569,91,31,0.14
320,0,93,51,0,72,68,563,90,31,0.14
320,0,93,50,0,71,69,539,90,24,0.14
320,0,96,54,0,71,69,554,75,22,0.14
320,0,98,56,0,72,69,564,89,18,0.14
320,0,86,58,0,72,70,538,93,47,0.14
320,0,82,55,0,71,70,552,87,33,0.14
320,0,87,50,0,70,68,550,88,32,0.14
320,0,78,53,0,69,67,503,92,51,0.14
320,0,77,55,0,69,68,488,89,53,0.14
320,0,75,51,0,69,67,503,92,45,0.14
320,0,73,53,0,68,66,509,88,45,0.14
320,0,83,45,0,68,65,553,90,25,0.14
320,0,90,43,0,68,65,550,77,12,0.14
320,0,103,53,0,70,67,518,64,13,0.14
320,0,103,56,0,70,68,503,71,13,0.14
320,0,99,57,0,69,68,495,73,11,0.14
320,0,78,56,0,69,68,220,86,42,0.14
320,0,86,57,0,70,68,362,91,35,0.14
320,0,70,58,0,69,67,168,92,69,0.14
320,0,73,52,0,69,68,465,84,34,0.14
320,0,73,44,0,68,66,470,82,45,0.14
320,0,79,48,0,68,66,502,87,36,0.14
320,0,87,45,0,68,64,506,90,27,0.14
320,0,96,44,0,68,65,504,78,15,0.14
320,0,103,48,0,69,65,489,69,14,0.14
320,0,102,55,0,69,66,478,80,18,0.14
320,0,78,51,0,69,67,468,88,51,0.14
320,0,87,44,0,70,65,492,90,14,0.14
320,0,93,52,0,70,68,447,74,17,0.14
320,0,92,56,0,70,68,480,63,18,0.14
320,0,91,52,0,70,68,455,68,26,0.14
320,0,88,52,0,70,68,376,83,24,0.14
320,0,79,57,0,70,69,322,90,42,0.14
320,0,72,56,0,70,68,242,88,45,0.14
320,0.15,75,58,0,69,68,177,89,52,0.14
320,0.22,77,58,0,70,68,340,94,58,0.14
320,0,89,58,0,71,69,338,70,30,0.14
320,0,87,63,0,71,70,309,79,39,0.09
320,0,86,60,0,72,70,373,86,43,0.09
320,0,72,55,0,71,69,207,86,52,0.09
320,0,74,56,0,70,68,288,91,54,0.09
320,0,81,47,0,70,68,342,88,31,0.09
320,0,84,43,0,69,67,369,83,24,0.09
320,0,83,44,0,68,66,353,88,32,0.09
320,0,85,48,0,69,67,289,95,27,0.09
320,0,80,56,0,68,67,287,83,30,0.09
320,0,87,49,0,68,66,351,93,25,0.09
320,0,73,51,0,68,66,171,76,46,0.09
320,0.01,76,55,0,68,66,285,91,51,0.09
320,0,75,49,0,67,66,333,87,34,0.09
320,0,82,45,0,66,65,338,82,24,0.09
320,0,91,45,0,67,64,334,87,25,0.09
320,0,77,50,0,67,66,332,88,49,0.09
320,0.94,62,47,0,66,64,92,93,69,0.09
320,0,65,42,0,64,63,335,93,48,0.09
320,0,65,37,0,63,61,337,94,28,0.09
320,0,67,35,0,61,59,287,91,29,0.09
320,0,70,36,0,61,59,319,92,30,0.09
320,0,76,35,0,61,59,324,91,23,0.09
320,0.48,63,36,0,61,59,190,94,58,0.09
320,0.45,53,41,0,60,59,102,95,79,0.09
320,0,57,39,0,59,58,262,95,60,0.09
320,0,64,36,0,58,56,310,95,44,0.09
320,0,64,34,0,58,56,304,94,45,0.09
320,0,70,34,0,58,56,301,94,36,0.09
320,0,72,34,0,58,56,300,94,27,0.09
320,0.22,59,42,0,58,57,199,93,53,0.09
320,0,67,36,0,56,55,287,90,48,0.09
320,0,68,39,0,57,55,288,99,54,0.09
320,0,69,39,0,57,56,302,100,52,0.09
320,0,74,42,0,58,56,300,97,44,0.09
320,0,73,42,0,58,56,300,97,48,0.09
320,0,78,39,0,59,56,306,97,34,0.09
320,0,61,40,0,59,57,293,96,73,0.09
320,0.09,58,37,0,58,57,104,95,62,0.09
320,0.09,54,34,0,57,55,184,99,61,0.09
320,0,55,30,0,55,53,290,99,46,0.09
320,0,56,27,0,54,52,290,97,34,0.09
320,0,61,26,0,53,51,292,93,31,0.09
320,0,63,26,0,52,51,278,94,27,0.09
320,0,56,26,0,52,51,140,92,43,0.09
320,0,64,32,0,53,51,262,91,32,0.09
320,0,64,34,0,53,51,186,88,40,0.09
320,0.17,63,35,0,53,52,139,100,45,0.09
320,0.01,58,37,0,54,52,158,100,78,0.09
320,0,60,34,0,53,51,181,100,61,0.09
320,0,69,39,0,54,52,223,99,49,0.09
320,0,65,44,0,55,53,186,100,73,0.09
320,0,63,42,0,55,54,178,100,77,0.09
320,0,69,45,0,56,54,218,99,58,0.09
320,0.29,63,50,0,57,56,100,99,65,0.09
320,0.24,57,44,0,56,55,201,97,63,0.09
320,0,59,40,0,55,54,244,98,45,0.09
320,0.35,55,40,0,54,53,74,97,75,0.09
320,0,54,36,0,53,52,262,87,44,0.09
320,0,56,30,0,52,50,267,95,37,0.09
320,0,58,28,0,51,49,261,98,36,0.06
320,0,62,29,0,51,49,254,98,45,0.06
320,0,61,29,0,51,49,265,99,61,0.06
320,0.11,56,40,0,52,51,135,100,64,0.06
320,0,53,32,0,52,50,104,100,70,0.06
320,0.32,60,49,0,53,51,62,100,89,0.06
320,0.12,60,52,0,54,53,61,99,77,0.06
320,0,57,26,0,48,47,247,98,39,0.06
320,0,55,30,0,49,47,268,100,50,0.06
320,0,52,28,0,48,47,197,97,54,0.06
320,0,59,38,0,49,47,164,90,45,0.06
320,0,63,38,0,50,49,161,92,44,0.06
320,0,62,46,0,51,50,167,97,73,0.06
320,0,56,43,0,52,51,69,99,76,0.06
320,0,51,45,0,52,51,59,95,80,0.06
320,0,57,38,0,51,50,225,100,65,0.06
320,0,56,33,0,51,49,187,100,60,0.06
320,0.01,56,47,0,52,51,99,97,74,0.06
320,0.01,59,42,0,52,51,165,99,66,0.06
320,0,64,46,0,53,51,174,97,59,0.06
